hd-no.,transcription,region,country,ancient find spot,modern find spot,type of monument,type of inscription,material,lat,long,period from,period to,from_num,to_num
HD000051,------] / [---]A[---]IEO / [---]atio Severo / f(ilio) nobilissimo / q(ui) vixsit(!) an(nos) / quinque m(enses) II d(ies) [---],Alpes Maritimae,France,Salinae,Castellane,stele,epitaph,Stone,43.8462419,6.5136999999,101 AD , 300 AD,101.0,300.0
HD000073,[Numini? Imp(eratoris) Caesaris] M(arci) Aurelli(!) Ant[onini Pii Felicis] / [Aug(usti) Parth(ici) maximi Br]itt(anici) maximi [f]o[rtissimi principis? et] / [Iuliae Aug(ustae) matris] senatus et ca[strorum et pat]/[riae et matris] domini nostr[i Antonini Aug(usti)] / [--- Augu]sti lib(erti) cum conl[ibertis suis et] / [---]c(?)ianis devoti n[umini eorum] / [dedicaverunt? --- Iu]n(ias) Pompeian[o et Severo] / co(n)s(ulibus),Roma,Italy,Roma,Roma,tabula,votive inscription,Stone,41.895466,12.482324,212 AD , 213 AD,212.0,213.0
HD000146,Q(uinto?) Coran[io? ---] / [------,Samnium ,Italy,Nursia,Norcia,block,epitaph,Stone,42.794241,13.096426,100 BC , 1 BC,-100.0,-1.0
HD000173,Q(uintus) Sertorius Q(uinti) [l(ibertus)] / Eutichus / Sertoria Q(uinti) l(iberta) / Antiopa,Samnium ,Italy,Nursia,Castellina,stele,epitaph,Stone,42.794246,13.096435,100 BC , 100 AD,-100.0,100.0
HD000281,T(ito) Satriario,Samnium ,Italy,Nursia,Norcia,stele,epitaph,Stone,42.794241,13.096426,1 AD , 50 AD,1.0,50.0
HD000284,[---] term[------,Samnium ,Italy,Nursia,Ancarano,cippus,boundary inscription,Stone,42.8333,13.1,Unknown,Unknown,26.0,125.0
HD000287,T(iti) Tettideni / T(iti) l(iberti) Sextionis,Samnium ,Italy,Nursia,Ancarano,block,epitaph,Stone,42.8333,13.1,51 AD , 200 AD,51.0,200.0
HD000290,D(is) M(anibus) // Q(uinto) Instadio Q(uinti) f(ilio) / Quir(ina) Iusto / VIIIvir(o) II[vir(ali) pot(estate)?] / [------,Samnium ,Italy,Nursia,Ancarano,altar,epitaph,Stone,42.8333,13.1,71 AD , 150 AD,71.0,150.0
HD000293,Q(uintus) Octavius / VIIIvir II,Samnium ,Italy,Nursia,Norcia,Unknown,epitaph,Stone,42.794241,13.096426,1 AD , 100 AD,1.0,100.0
HD000299,D(is) M(anibus) // sacrum / Herculi / L(ucius) Pulsinienus / Iunianus / pro salute mea / et meorum dis / donum dedi,Samnium ,Italy,Nursia,Popoli,altar,votive inscription,Stone,42.75,13.1,31 AD , 70 AD,31.0,70.0
HD000302,C(aius) Valerius(?) [---] / [------,Samnium ,Italy,Nursia,S. Pellegrino,block,Unknown,Stone,42.794246,13.096435,1 AD , 100 AD,1.0,100.0
HD000305,Petroniae / P(ubli) f(iliae) / Volusia P(ubli) f(ilia) / matri,Samnium ,Italy,Unknown,Valcaldara,block,epitaph,Stone,42.794246,13.096435,1 AD , 100 AD,1.0,100.0
HD000308,------] / [---]AR[---] / [---]us |(mulieris) l(ibertus) Pyla[des] / [--- a]e |(mulieris) l(ibertae) Rufae / [---]ti com[pari? ---] / [------,Samnium ,Italy,Nursia,Norcia,block,epitaph,Stone,42.794241,13.096426,51 AD , 200 AD,51.0,200.0
HD000314,Sabda Iovi [------,Samnium ,Italy,Nursia,Norcia,statue base,votive inscription,Stone,42.794241,13.096426,1 AD , 100 AD,1.0,100.0
HD000317,[Pa]edagogu[s] / L(ucius) Greius L(uci) l(ibertus) / Secundus / L(ucius) Greius L(uciorum duorum) l(ibertus) / Lesbius,Samnium ,Italy,Nursia,Norcia,Unknown,epitaph,Stone,42.794241,13.096426,1 AD , 100 AD,1.0,100.0
HD000360,Q(uintus) Caesiarus(!) T(iti) f(ilius) Po[---],Samnium ,Italy,Nursia,Norcia,block,Unknown,Stone,42.794241,13.096426,1 AD , 50 AD,1.0,50.0
HD000371,------] / [Q(uinto?) Petr]onio Sex(ti) f(ilio) R[---] / [Sex(to?) Pe]tronio Q(uinti) f(ilio) A[---] / [---] Petronia [---] / [------,Samnium ,Italy,Nursia,Norcia,Unknown,epitaph,Stone,42.794241,13.096426,1 AD , 100 AD,1.0,100.0
HD000377,L(uci) Graii L(uci) f(ilii) / L[---] PE[---] / [------,Samnium ,Italy,Nursia,Norcia,Unknown,Unknown,Stone,42.794241,13.096426,1 AD , 100 AD,1.0,100.0
HD000431,Q(uinti) M[a]ltin[i Q(uinti)] l(iberti) Mid[ae] / h(oc) m(onumentum) h(eredem) n(on) s(equetur),Samnium ,Italy,Nursia,Norcia,block,epitaph,Stone,42.794241,13.096426,1 AD , 100 AD,1.0,100.0
HD000479,T(iti) Corani Sex(ti) f(ilii) / [---] Nervae,Samnium ,Italy,Nursia,Norcia,block,Unknown,Stone,42.794241,13.096426,1 AD , 100 AD,1.0,100.0
HD000623,D(is) M(anibus) // Lucius Primi fil(ius) / Primo Iusti fil(io) / patri pi&lt;i&gt;ssimo et / de me bene merito / et Surae matri de/functis de suo / v(ivus) p(osuit),Alpes Maritimae,France,Brigantio,BrianÃ§onnet,stele,epitaph,Stone,43.880882,6.6899319999,101 AD , 200 AD,101.0,200.0
HD000635,[In h]onorem domu[s Augustae] / [--- Carat]hounus Sex(tus) Massius Gen[---] / [---]lianus C(aius) Celsius Mattos[us? ---] / [IIIIIIviri Au]gustales aquam ab origin[e usque Divodurum] / [perduxeru]nt et nymphaeum cum su[is omnibus ornamentis] / [et] por[ticu suo impendio dedicaverunt],Belgica,France,Divodurum,Metz,tabula,votive inscription,Stone,49.1196964,6.1763552,101 AD , 130 AD,101.0,130.0
HD000649,L(ucius) Calidius Eroticus / sibi et Fanniae Voluptati v(ivus) f(ecit) / copo(!) computemus habes vini |(sextarium) I pani(s) / a(sse) I pulmentar(ium) a(ssibus) II convenit puell(a) / a(ssibus) VIII et hoc convenit faenum / mulo a(ssibus) II iste mulus me ad factum / dabit,Samnium ,Italy,Aesernia,Isernia,altar,epitaph,Stone,41.6,14.2333,51 AD , 150 AD,51.0,150.0
HD000650,T(ito) Belgis[io? ---] / sacerdot[i ad aram omnibus] / honorib(us) [apud suos functo] / statuam [equestrem?] / cum su[bscriptione] / tres prov[inciae Galliae] / primo u[mquam? ex? civit(ate)? sua?] / ponend[am curaverunt],Lugdunensis,France,Lugdunum,Lyon,statue base,honorific inscription,Unknown,45.75,4.85,1 AD , 200 AD,1.0,200.0
HD000663,L(ucius) Gaviarius L(uci) f(ilius) T(iti) n(epos) aug(ur) C(aius) [Iuliu]s / Caesaris l(ibertus) Meges IIviri qu(in)que(nnales) por[tam] / et turrim ex d(ecreto) d(ecurionum) d(e) p(ecunia) p(ublica) reficiu[ndas] / coeraverunt eidemque pr[o]/baverunt constat HS ||[|(trium milium)?D?],Dalmatia,Albania,Lissus,Lezha,block,building/dedicatory inscription,Stone,41.781713005,19.649627207,60 BC , 48 BC,-60.0,-48.0
HD000666,L(ucius) Gaviarius L(uci) f(ilius) T(iti) n(epos) / aug(ur) C(aius) Iulius Caes/aris l(ibertus) Meges IIvir(i) quinque(nnales) / murum ex d(ecreto) d(ecurionum) reficiundum c(uraverunt) / i&lt;s&gt;demque probaverunt c(onstat) HS ||(quattuor milium)CC,Dalmatia,Albania,Lissus,Lezha,block,building/dedicatory inscription,Stone,41.781734721,19.649372781,60 BC , 48 BC,-60.0,-48.0
HD000712,[Caeci]liae f(iliae) suae nomin[e] L(ucius) Ca[e]/[ciliu]s C(ai) f(ilius) Ouf(entina) Secundus praef(ectus) / [fabr(um)] a co(n)s(ule) IIIIvir i(ure) d(icundo) pontif(ex) tem/[plum] aeternitati Romae et Augu[s]/[tor(um) c]um porticibus et ornamen/tis incohavit / [- Caeci]lius Secundus f(ilius) dedic(avit),Transpadana ,Italy,Comum,Como,tabula,building/dedicatory inscription,Stone,45.811964,9.085456,77 AD , 79 AD,77.0,79.0
HD000716,C(aius) Torenas An(iensis) / Herc(uli) Vict(ori) d(ono) d(edit) / quone Lunam / [i]nferat Solis / [l]umen sectu[m],Samnium ,Italy,Nursia,Norcia,base,votive inscription,Stone,42.794241,13.096426,50 BC , 50 AD,-50.0,50.0
HD000755,Thymelo / et Amando / servis Verae / familia / urbana / conservis / b(ene) m(erentibus) / Thymelicus / pater filis / carissimis / faciundum / cur[avit],Samnium ,Italy,Nursia,Norcia,Unknown,epitaph,Stone,42.794241,13.096426,151 AD , 300 AD,151.0,300.0
HD000802,------] / [--- templum] / [aeternitati Romae et Au]gustor[um] / [cum porticib(us) et orname]nt(is) incoh[avit] / [- Caecilius Secundus] f(ilius) dedic[avit],Transpadana ,Italy,Comum,Como,tabula,building/dedicatory inscription,Unknown,45.811964,9.085456,77 AD , 79 AD,77.0,79.0
HD001008,Argentaria L(uci) l(iberta) / Euc(h)erea sibi et / L(ucio) Argentario / Pamp(h)ilo viro / [s]uo et patrono,Baetica,Spain,Urso,Osuna,tile,epitaph,Stone,37.23765,-5.10746,30 BC , 30 AD,-30.0,30.0
HD001158,Rogo et peto primicere(!) / tunc(!) puellam Bariam / teretrum perdis ego Steriu(s) / modo rud(i?) cunscio(!) me / reddere Bes(sam) ex[-]sium visu / peto et rogo primicere(!) / reddas mihi teretrum / [tu]m venet Bessa volando / [Fla]ccus aliam ul(l)am emet / et tollet mihi cor / p(a)t(er) [Fla]ccus,Dacia,Romania,Unknown,SicheviÅ£a,tile,Unknown,Stone,44.661785303,21.809996366,294 AD , 350 AD,294.0,350.0
HD001182,Pridi(e) Kal(endas) Mart(ias) / &lt;Mar&gt;tinianus(?) / h(ic) situs,Moesia inferior,Romania,Ibida,Slava CerchezÄ,tile,epitaph,Stone,44.854309563,28.590464229,28. 2. 201 AD , 300 AD,28.0,300.0
HD001200,Catto Bellovaci f(ilio) / domo Segusiavo equiti / alae Maced(o)nicae / ex testamento T(itus) Cornelius / T(iti) f(ilius) Fronto faciundum / quravit(!) idemque probavit,Macedonia,Greece,Thessalonica,ThessalonÃ­ki,stele,epitaph,Unknown,40.651721999,22.971056,27 BC , 15 AD,-27.0,15.0
